1	0	2016-09-19 11:52:17.648979	2016-09-19 11:52:43.261604
2	1	2016-09-19 11:52:43.264608	2016-09-19 11:53:08.060986
3	0	2016-09-19 11:53:08.063489	2016-09-19 11:53:32.088211
4	0	2016-09-19 11:53:32.090213	2016-09-19 11:53:55.490290
5	1	2016-09-19 11:53:55.492279	2016-09-19 11:54:18.806215
6	0	2016-09-19 11:54:18.808716	2016-09-19 11:54:41.354044
7	1	2016-09-19 11:54:41.356566	2016-09-19 11:55:03.525118
8	0	2016-09-19 11:55:03.528139	2016-09-19 11:55:25.760986
9	0	2016-09-19 11:55:25.763489	2016-09-19 11:55:47.310190
10	1	2016-09-19 11:55:47.312203	2016-09-19 11:56:09.084714
11	0	2016-09-19 11:56:09.086730	2016-09-19 11:56:30.674477
12	0	2016-09-19 11:56:30.675995	2016-09-19 11:56:52.077539
13	1	2016-09-19 11:56:52.080041	2016-09-19 11:57:13.469146
14	0	2016-09-19 11:57:13.471147	2016-09-19 11:57:34.821163
15	0	2016-09-19 11:57:34.824177	2016-09-19 11:57:56.753256
16	1	2016-09-19 11:57:56.755259	2016-09-19 11:58:19.442568
17	0	2016-09-19 11:58:19.444570	2016-09-19 11:58:40.856224
18	1	2016-09-19 11:58:40.858226	2016-09-19 11:59:02.370898
19	0	2016-09-19 11:59:02.373400	2016-09-19 11:59:24.823505
